Date,ticker,Open,High,Low,close,Volume
2005-12-31T00:00:00.000+05:00,SEARL,30.0,31.5,31.2,31.5,3500.0
2006-03-03T00:00:00.000+05:00,SEARL,36.0,35.6,34.75,35.0,7500.0
2006-03-21T00:00:00.000+05:00,SEARL,37.8,37.5,36.65,37.0,4000.0
2006-03-23T00:00:00.000+05:00,SEARL,37.0,37.0,36.0,36.5,9000.0
2006-03-26T00:00:00.000+05:00,SEARL,36.5,37.1,36.5,37.1,2000.0
2006-03-27T00:00:00.000+05:00,SEARL,37.1,37.0,37.0,37.0,0.0
2006-03-29T00:00:00.000+05:00,SEARL,36.95,36.95,36.95,36.95,500.0
2006-03-30T00:00:00.000+05:00,SEARL,36.95,37.0,37.0,37.0,500.0
2006-04-02T00:00:00.000+05:00,SEARL,37.0,37.15,37.0,37.15,5000.0
2006-04-03T00:00:00.000+05:00,SEARL,37.15,38.0,37.15,37.75,10500.0
2006-04-04T00:00:00.000+05:00,SEARL,37.75,38.75,36.6,38.55,10500.0
2006-04-05T00:00:00.000+05:00,SEARL,38.55,39.0,38.5,39.0,16000.0
2006-04-06T00:00:00.000+05:00,SEARL,39.0,39.5,38.55,39.0,5000.0
2006-04-09T00:00:00.000+05:00,SEARL,39.0,39.85,38.55,38.55,12000.0
2006-04-10T00:00:00.000+05:00,SEARL,38.55,38.0,38.0,38.0,0.0
2006-04-12T00:00:00.000+05:00,SEARL,38.55,38.0,38.0,38.0,0.0
2006-04-13T00:00:00.000+05:00,SEARL,38.0,38.0,38.0,38.0,500.0
2006-04-16T00:00:00.000+05:00,SEARL,38.0,38.0,37.5,37.75,5000.0
2006-04-17T00:00:00.000+05:00,SEARL,37.75,38.0,37.1,37.25,7000.0
2006-04-18T00:00:00.000+05:00,SEARL,37.25,38.9,37.3,38.1,4000.0
2006-04-19T00:00:00.000+05:00,SEARL,38.1,38.75,37.5,38.5,6000.0
2006-04-20T00:00:00.000+05:00,SEARL,38.5,38.2,37.5,37.95,9000.0
2006-04-24T00:00:00.000+05:00,SEARL,37.25,37.95,37.5,37.95,6000.0
2006-04-25T00:00:00.000+05:00,SEARL,37.25,37.95,37.5,37.95,6000.0
2006-04-26T00:00:00.000+05:00,SEARL,37.95,38.75,37.9,38.05,15000.0
2006-04-27T00:00:00.000+05:00,SEARL,37.1,37.25,35.25,35.25,22500.0
2006-05-01T00:00:00.000+05:00,SEARL,35.25,36.0,35.6,36.0,8000.0
2006-05-02T00:00:00.000+05:00,SEARL,36.0,36.0,35.5,36.0,3500.0
2006-05-04T00:00:00.000+05:00,SEARL,35.0,35.5,35.25,35.25,11500.0
2006-05-07T00:00:00.000+05:00,SEARL,35.25,36.0,35.05,35.05,7500.0
2006-05-08T00:00:00.000+05:00,SEARL,35.05,35.5,35.0,35.5,5000.0
2006-05-09T00:00:00.000+05:00,SEARL,35.5,35.5,34.0,34.35,4000.0
2006-05-11T00:00:00.000+05:00,SEARL,34.35,34.85,33.1,34.85,3000.0
2006-05-14T00:00:00.000+05:00,SEARL,34.85,34.5,34.0,34.0,12500.0
2006-05-15T00:00:00.000+05:00,SEARL,34.0,34.1,33.5,34.1,7000.0
2006-05-16T00:00:00.000+05:00,SEARL,34.1,34.1,34.0,34.0,1500.0
2006-05-17T00:00:00.000+05:00,SEARL,34.0,34.0,33.2,33.2,4500.0
2006-05-18T00:00:00.000+05:00,SEARL,33.2,33.1,32.05,32.8,4000.0
2006-05-21T00:00:00.000+05:00,SEARL,32.8,33.1,32.55,32.55,3000.0
2006-05-22T00:00:00.000+05:00,SEARL,32.55,33.35,33.0,33.1,2000.0
2006-05-23T00:00:00.000+05:00,SEARL,33.1,33.8,33.4,33.5,2500.0
2006-05-24T00:00:00.000+05:00,SEARL,33.5,32.85,32.85,32.85,500.0
2006-05-25T00:00:00.000+05:00,SEARL,32.85,34.0,33.0,33.0,5000.0
2006-05-28T00:00:00.000+05:00,SEARL,33.0,33.05,32.95,33.0,9000.0
2006-05-29T00:00:00.000+05:00,SEARL,33.0,33.6,32.5,33.6,5000.0
2006-05-30T00:00:00.000+05:00,SEARL,33.6,34.3,33.05,33.05,5500.0
2006-05-31T00:00:00.000+05:00,SEARL,33.05,33.8,33.8,33.8,500.0
2006-06-01T00:00:00.000+05:00,SEARL,33.8,33.45,32.15,33.0,3000.0
2006-06-04T00:00:00.000+05:00,SEARL,33.0,33.1,33.0,33.1,1500.0
2006-06-05T00:00:00.000+05:00,SEARL,33.1,32.2,31.6,32.0,4500.0
2006-06-06T00:00:00.000+05:00,SEARL,32.0,32.5,32.1,32.5,3000.0
2006-06-07T00:00:00.000+05:00,SEARL,32.5,32.0,31.5,31.55,11500.0
2006-06-08T00:00:00.000+05:00,SEARL,31.55,32.65,31.9,31.9,11500.0
2006-06-11T00:00:00.000+05:00,SEARL,31.9,32.0,31.55,32.0,2500.0
2006-06-12T00:00:00.000+05:00,SEARL,32.0,31.0,30.4,31.0,19500.0
2006-06-13T00:00:00.000+05:00,SEARL,31.0,31.45,30.0,30.0,3500.0
2006-06-15T00:00:00.000+05:00,SEARL,31.5,31.65,31.65,31.65,1000.0
2006-06-18T00:00:00.000+05:00,SEARL,31.65,32.9,32.0,32.0,3500.0
